
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.178.152:55904  104.18.32.137:443      ESTABLISHED     19596
  TCP    192.168.178.152:56915  192.168.178.1:53       TIME_WAIT       0
  TCP    192.168.178.152:59045  192.168.178.1:53       TIME_WAIT       0
  TCP    192.168.178.152:60084  18.64.79.73:443        ESTABLISHED     19596
  TCP    192.168.178.152:60105  34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.178.152:60601  34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.178.152:60813  172.217.19.74:443      ESTABLISHED     29308
  TCP    192.168.178.152:61994  172.217.19.74:443      ESTABLISHED     29308
  TCP    192.168.178.152:62007  172.217.19.74:443      ESTABLISHED     29308
  TCP    192.168.178.152:62883  155.133.250.4:27020    ESTABLISHED     11644
  TCP    192.168.178.152:63338  34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.178.152:64182  192.168.178.1:53       TIME_WAIT       0
  TCP    192.168.178.152:64406  142.251.142.42:443     ESTABLISHED     29308
  TCP    192.168.178.152:64450  172.217.19.74:443      ESTABLISHED     29308
  TCP    192.168.178.152:64529  95.100.248.146:443     CLOSE_WAIT      2240
  TCP    192.168.178.152:65157  104.208.16.91:443      ESTABLISHED     3292
  TCP    192.168.178.152:65158  172.217.19.74:443      ESTABLISHED     29308
  TCP    192.168.178.152:65377  192.168.178.1:53       TIME_WAIT       0
  TCP    [::]:135               [::]:0                 LISTENING       1392
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:5432              [::]:0                 LISTENING       7028
  TCP    [::]:7680              [::]:0                 LISTENING       16608
  TCP    [::]:18618             [::]:0                 LISTENING       9468
  TCP    [::]:24108             [::]:0                 LISTENING       23228
  TCP    [::]:24508             [::]:0                 LISTENING       9468
  TCP    [::]:49664             [::]:0                 LISTENING       1080
  TCP    [::]:49665             [::]:0                 LISTENING       400
  TCP    [::]:49666             [::]:0                 LISTENING       1812
  TCP    [::]:49667             [::]:0                 LISTENING       3004
  TCP    [::]:49668             [::]:0                 LISTENING       4316
  TCP    [::]:49678             [::]:0                 LISTENING       1036
  TCP    [::]:53496             [::]:0                 LISTENING       15700
  TCP    [::]:56018             [::]:0                 LISTENING       9468
  TCP    [::1]:5173             [::]:0                 LISTENING       18472
  TCP    [::1]:5173             [::1]:49670            ESTABLISHED     18472
  TCP    [::1]:5173             [::1]:49671            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:49807            ESTABLISHED     18472
  TCP    [::1]:5173             [::1]:50091            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:50194            ESTABLISHED     18472
  TCP    [::1]:5173             [::1]:50344            ESTABLISHED     18472
  TCP    [::1]:5173             [::1]:50418            ESTABLISHED     18472
  TCP    [::1]:5173             [::1]:50483            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:50703            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:50801            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:51888            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:52972            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:53298            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:53309            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:54187            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:54297            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:54932            ESTABLISHED     18472
  TCP    [::1]:5173             [::1]:55699            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:55836            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:56237            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:56243            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:56312            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:56338            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:56986            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:57313            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:57625            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:57679            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:57867            ESTABLISHED     18472
  TCP    [::1]:5173             [::1]:58188            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:58446            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:58931            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:59284            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:59727            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:59839            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:60009            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:60593            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:60662            ESTABLISHED     18472
  TCP    [::1]:5173             [::1]:60807            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:60897            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:61249            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:61363            ESTABLISHED     18472
  TCP    [::1]:5173             [::1]:61532            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:61635            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:61966            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:62556            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:62778            ESTABLISHED     18472
  TCP    [::1]:5173             [::1]:62858            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:62908            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:62970            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:63328            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:63481            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:63689            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:63922            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:64126            ESTABLISHED     18472
  TCP    [::1]:5173             [::1]:64425            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:64507            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:64858            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:65154            TIME_WAIT       0
  TCP    [::1]:5173             [::1]:65416            TIME_WAIT       0
  TCP    [::1]:5432             [::1]:49239            ESTABLISHED     7028
  TCP    [::1]:5432             [::1]:49680            ESTABLISHED     7028
  TCP    [::1]:5432             [::1]:59021            ESTABLISHED     7028
  TCP    [::1]:5432             [::1]:60192            ESTABLISHED     7028
  TCP    [::1]:5432             [::1]:60196            ESTABLISHED     7028
  TCP    [::1]:5432             [::1]:63824            ESTABLISHED     7028
  TCP    [::1]:42050            [::]:0                 LISTENING       19288
  TCP    [::1]:49239            [::1]:5432             ESTABLISHED     10672
  TCP    [::1]:49669            [::]:0                 LISTENING       5732
  TCP    [::1]:49670            [::1]:5173             ESTABLISHED     10624
  TCP    [::1]:49680            [::1]:5432             ESTABLISHED     10672
  TCP    [::1]:49807            [::1]:5173             ESTABLISHED     10624
  TCP    [::1]:50194            [::1]:5173             ESTABLISHED     19596
  TCP    [::1]:50344            [::1]:5173             ESTABLISHED     10624
  TCP    [::1]:50418            [::1]:5173             ESTABLISHED     19596
  TCP    [::1]:54932            [::1]:5173             ESTABLISHED     10624
